               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083849,             0.06303,            0.070348,           0.0021938,             0.15494,           0.0022658,          0.00051622,            0.074434,            0.033556,            0.066018,           0.0033257,           0.0033257,            0.070068
                   1,            0.073131,            0.061982,            0.065559,              0.4418,             0.30861,             0.07505,            0.031194,            0.060077,            0.029777,            0.061185,           0.0065931,           0.0065931,            0.040003
                   2,            0.059961,            0.057276,            0.061875,             0.35287,             0.33631,             0.13995,            0.063357,            0.054819,            0.027411,            0.057916,           0.0097945,           0.0097945,           0.0098706
                   3,            0.053098,            0.054328,            0.058009,             0.49251,             0.29828,             0.19752,             0.12556,            0.045781,            0.022316,            0.053987,            0.009703,            0.009703,            0.009703
                   4,            0.049275,            0.052007,            0.055092,             0.59048,             0.35568,             0.30569,              0.1815,            0.041685,            0.021549,            0.046669,            0.009703,            0.009703,            0.009703
                   5,            0.047492,            0.050771,            0.052671,             0.56785,             0.30375,             0.32209,             0.18971,            0.043864,            0.022685,            0.046013,            0.009604,            0.009604,            0.009604
                   6,            0.046733,            0.051023,            0.050885,             0.66052,             0.36291,             0.36577,             0.23814,            0.039027,            0.022254,            0.042851,            0.009505,            0.009505,            0.009505
                   7,            0.046182,            0.050777,            0.048619,             0.69452,             0.42657,             0.42579,             0.25701,            0.039553,            0.020031,            0.037938,            0.009406,            0.009406,            0.009406
                   8,            0.045688,            0.050196,            0.045837,             0.60959,              0.4113,             0.42083,             0.27177,            0.038236,            0.021575,            0.037802,            0.009307,            0.009307,            0.009307
                   9,            0.044462,            0.049264,            0.044255,             0.74179,             0.38938,             0.44255,              0.2979,            0.039478,            0.020398,            0.035199,            0.009208,            0.009208,            0.009208
                  10,            0.043692,            0.047913,            0.042748,             0.67354,              0.4111,             0.45919,             0.30306,            0.038755,            0.019577,            0.036079,            0.009109,            0.009109,            0.009109
                  11,            0.043745,            0.048886,            0.041567,             0.83911,             0.39593,             0.48968,             0.33411,             0.03619,            0.019319,            0.032361,             0.00901,             0.00901,             0.00901
                  12,            0.043184,            0.049038,            0.041153,             0.81129,             0.43444,             0.50093,             0.34232,            0.035779,            0.019044,             0.03093,            0.008911,            0.008911,            0.008911
                  13,            0.042283,            0.047645,            0.039021,             0.82663,             0.45543,             0.52479,             0.35523,             0.03574,            0.018425,            0.029355,            0.008812,            0.008812,            0.008812
