               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083799,            0.063463,            0.070427,           0.0010408,             0.11223,           0.0011804,          0.00022141,            0.075758,             0.03263,            0.066044,           0.0033257,           0.0033257,            0.070068
                   1,            0.074652,             0.06155,            0.065567,             0.44907,             0.30704,            0.083135,            0.032626,            0.061157,            0.028902,            0.060999,           0.0065931,           0.0065931,            0.040003
                   2,            0.059999,            0.057297,            0.062304,             0.41321,             0.33632,             0.11798,            0.047997,            0.051794,            0.024709,            0.057536,           0.0097945,           0.0097945,           0.0098706
                   3,            0.052685,            0.054471,            0.057955,             0.51407,              0.3156,             0.21513,             0.12606,            0.047057,            0.022122,            0.051021,            0.009703,            0.009703,            0.009703
                   4,            0.049554,            0.052754,             0.05511,             0.61833,             0.33108,             0.31044,             0.17763,            0.043398,            0.021228,            0.046158,            0.009703,            0.009703,            0.009703
                   5,            0.047822,            0.050667,            0.052616,             0.51281,             0.33054,              0.2989,              0.1785,            0.041214,            0.021769,            0.046007,            0.009604,            0.009604,            0.009604
                   6,            0.046639,            0.049711,            0.050257,             0.68486,             0.38246,             0.38646,             0.25717,            0.038284,            0.021432,            0.041466,            0.009505,            0.009505,            0.009505
                   7,            0.045686,            0.050505,            0.047934,             0.69622,             0.41818,             0.40924,               0.238,            0.039016,            0.020864,            0.039294,            0.009406,            0.009406,            0.009406
                   8,            0.044662,            0.048939,            0.046304,             0.60608,             0.42467,             0.43433,             0.25339,            0.037033,            0.020259,            0.036215,            0.009307,            0.009307,            0.009307
                   9,            0.043984,            0.048371,            0.044921,             0.78563,             0.41405,             0.47584,             0.30983,            0.036643,            0.019724,            0.033909,            0.009208,            0.009208,            0.009208
                  10,            0.043698,            0.048797,            0.043206,             0.78239,             0.42542,             0.48998,             0.33809,            0.034137,            0.019151,            0.032752,            0.009109,            0.009109,            0.009109
                  11,            0.042775,            0.046827,            0.041736,             0.72651,             0.43793,             0.48221,             0.32683,            0.035742,            0.018828,             0.03267,             0.00901,             0.00901,             0.00901
                  12,            0.042334,            0.047281,            0.040694,             0.81071,             0.42271,              0.5011,             0.34049,            0.036251,             0.01883,            0.032487,            0.008911,            0.008911,            0.008911
                  13,            0.042206,            0.047794,            0.039298,              0.8142,              0.4457,             0.51436,             0.35209,            0.034856,            0.019142,            0.029987,            0.008812,            0.008812,            0.008812
                  14,            0.042591,            0.048109,            0.037935,              0.8358,             0.47743,             0.53731,             0.36398,            0.034095,            0.018654,            0.027294,            0.008713,            0.008713,            0.008713
                  15,            0.041232,            0.046707,            0.037364,             0.74133,             0.50228,             0.55437,             0.38868,            0.032108,             0.01803,            0.024009,            0.008614,            0.008614,            0.008614
                  16,            0.041398,            0.047237,            0.036582,             0.84563,             0.48515,             0.54863,             0.38554,             0.03232,            0.018699,            0.024925,            0.008515,            0.008515,            0.008515
                  17,             0.04155,            0.047406,            0.035619,              0.8347,             0.49205,             0.55641,             0.38019,            0.032619,            0.018546,            0.023626,            0.008416,            0.008416,            0.008416
                  18,            0.040769,            0.046453,            0.034877,             0.85746,             0.50105,             0.58404,             0.40506,            0.032387,            0.018159,             0.02288,            0.008317,            0.008317,            0.008317
                  19,            0.039769,            0.045584,            0.033742,              0.8348,             0.52089,             0.58299,             0.42131,            0.031659,            0.017363,            0.021347,            0.008218,            0.008218,            0.008218
                  20,            0.039826,            0.045362,             0.03246,             0.83248,              0.5227,             0.59175,             0.41657,            0.032689,             0.01772,            0.020702,            0.008119,            0.008119,            0.008119
                  21,            0.039981,            0.045425,            0.032617,             0.80592,             0.53776,             0.60147,             0.41484,            0.033046,            0.017292,            0.021574,             0.00802,             0.00802,             0.00802
                  22,            0.039905,            0.046116,            0.032317,             0.87363,             0.51046,             0.61719,             0.43087,            0.031916,            0.017636,            0.020976,            0.007921,            0.007921,            0.007921
                  23,            0.039652,            0.045306,            0.030972,             0.78521,             0.54605,             0.60482,             0.42384,             0.03222,            0.017779,            0.023126,            0.007822,            0.007822,            0.007822
                  24,            0.039257,            0.045096,            0.031894,             0.92455,             0.47654,             0.62134,             0.44017,            0.031209,            0.017972,            0.020096,            0.007723,            0.007723,            0.007723
                  25,            0.039398,            0.045908,            0.030104,             0.78013,              0.5292,             0.60006,               0.429,            0.031642,            0.017176,            0.020357,            0.007624,            0.007624,            0.007624
                  26,            0.038531,            0.044474,            0.029407,             0.81547,             0.54869,             0.62541,             0.44023,            0.032111,            0.017376,            0.017897,            0.007525,            0.007525,            0.007525
                  27,            0.038469,             0.04423,            0.028748,             0.78117,              0.5634,             0.62157,             0.45196,            0.031269,             0.01738,             0.01806,            0.007426,            0.007426,            0.007426
                  28,            0.038464,            0.044509,            0.028939,              0.6903,             0.58182,                0.64,             0.45842,            0.030243,            0.017014,            0.018528,            0.007327,            0.007327,            0.007327
                  29,            0.037831,            0.044437,            0.028417,             0.65651,             0.58948,             0.64858,             0.45671,            0.030975,            0.017091,            0.016848,            0.007228,            0.007228,            0.007228
                  30,            0.038401,            0.044257,            0.027798,             0.76702,             0.59197,             0.65714,             0.45872,             0.02944,            0.016912,            0.017646,            0.007129,            0.007129,            0.007129
                  31,             0.03793,            0.043788,            0.027839,             0.84183,             0.53828,             0.63857,             0.45892,            0.029542,            0.016975,            0.016509,             0.00703,             0.00703,             0.00703
                  32,            0.037859,            0.044248,            0.027928,             0.58017,             0.67922,             0.63884,             0.46223,             0.02976,            0.016989,            0.016409,            0.006931,            0.006931,            0.006931
                  33,             0.03753,            0.044051,            0.027468,             0.80661,             0.58495,             0.66456,             0.47455,            0.029421,            0.016776,            0.017113,            0.006832,            0.006832,            0.006832
                  34,             0.03764,             0.04419,            0.027022,             0.87307,             0.58293,             0.66963,             0.47358,            0.029345,            0.016518,            0.016541,            0.006733,            0.006733,            0.006733
                  35,            0.037757,            0.043854,            0.026418,             0.76899,             0.60166,             0.65196,             0.46792,            0.029621,            0.016693,            0.015331,            0.006634,            0.006634,            0.006634
                  36,            0.037332,            0.043678,            0.026529,             0.85379,             0.55871,             0.67527,             0.48011,            0.029127,            0.016628,            0.014868,            0.006535,            0.006535,            0.006535
                  37,            0.036577,            0.043324,             0.02514,             0.83244,             0.55798,             0.65831,             0.46855,            0.028974,            0.016473,            0.015416,            0.006436,            0.006436,            0.006436
                  38,            0.036356,            0.042881,            0.025642,             0.81933,              0.6007,             0.66552,             0.46799,            0.028924,            0.016832,            0.016074,            0.006337,            0.006337,            0.006337
                  39,             0.03715,             0.04381,            0.025647,             0.55394,             0.76793,              0.7054,             0.47541,            0.028538,            0.016805,            0.016511,            0.006238,            0.006238,            0.006238
                  40,            0.036509,            0.042913,            0.024472,             0.79752,             0.63408,             0.70353,             0.50638,            0.028233,            0.016595,            0.014406,            0.006139,            0.006139,            0.006139
                  41,            0.036396,            0.043152,            0.023674,             0.87768,             0.57784,             0.69503,             0.49709,            0.028041,            0.016031,            0.014304,             0.00604,             0.00604,             0.00604
                  42,            0.036337,            0.043653,             0.02496,             0.75614,             0.62575,             0.68677,             0.50225,             0.02773,            0.016116,            0.015818,            0.005941,            0.005941,            0.005941
                  43,            0.035869,            0.042663,            0.024042,              0.8413,             0.59254,             0.69167,             0.49654,            0.027708,            0.016007,            0.014005,            0.005842,            0.005842,            0.005842
                  44,            0.036081,            0.043012,             0.02392,             0.59572,             0.71099,             0.70768,             0.50304,            0.028486,            0.016021,             0.01455,            0.005743,            0.005743,            0.005743
                  45,            0.036155,            0.042978,            0.023836,             0.77734,             0.60788,             0.69177,             0.50357,            0.027349,            0.015666,            0.013788,            0.005644,            0.005644,            0.005644
