               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083809,            0.063072,            0.070387,           0.0023368,             0.17949,           0.0026482,          0.00051206,            0.074201,            0.033841,            0.065861,           0.0033257,           0.0033257,            0.070068
                   1,             0.07269,            0.061634,            0.065426,             0.36999,             0.30286,            0.074017,            0.026086,            0.060205,            0.029904,            0.060995,           0.0065931,           0.0065931,            0.040003
                   2,            0.059625,            0.056651,            0.061373,             0.44587,             0.29937,             0.15153,            0.074113,            0.053525,            0.025162,            0.055491,           0.0097945,           0.0097945,           0.0098706
                   3,            0.052882,            0.054093,            0.057174,             0.49454,             0.33765,             0.22693,             0.13488,            0.044873,            0.022221,            0.049906,            0.009703,            0.009703,            0.009703
                   4,            0.049565,            0.051845,            0.054416,             0.56646,             0.35115,             0.29292,             0.17444,            0.043289,            0.021097,            0.046451,            0.009703,            0.009703,            0.009703
                   5,            0.047639,            0.050686,            0.052167,             0.58718,             0.34896,             0.35625,             0.21613,            0.044036,            0.022281,            0.044104,            0.009604,            0.009604,            0.009604
                   6,            0.046935,            0.050875,            0.050037,             0.66641,             0.30222,             0.32062,             0.20555,            0.042151,            0.022703,            0.045946,            0.009505,            0.009505,            0.009505
                   7,            0.046146,            0.050741,            0.047772,             0.74844,             0.38784,             0.43503,             0.27464,            0.038089,            0.019481,            0.037149,            0.009406,            0.009406,            0.009406
                   8,            0.045582,            0.050151,            0.045564,             0.66653,             0.42078,             0.45529,             0.30432,            0.037614,            0.021141,             0.03583,            0.009307,            0.009307,            0.009307
                   9,            0.044292,            0.049184,            0.043963,             0.79287,             0.39659,             0.45313,             0.30739,            0.036826,            0.019902,              0.0338,            0.009208,            0.009208,            0.009208
                  10,            0.043639,            0.047723,            0.042379,             0.79489,             0.42315,             0.48104,             0.30652,              0.0377,            0.018989,             0.03316,            0.009109,            0.009109,            0.009109
                  11,            0.043662,            0.048691,            0.041358,             0.80224,             0.42985,              0.5098,             0.33684,            0.036689,            0.018951,            0.031755,             0.00901,             0.00901,             0.00901
                  12,            0.042993,            0.048893,            0.040924,             0.81817,             0.42878,             0.49941,             0.34675,            0.034085,             0.01855,            0.031911,            0.008911,            0.008911,            0.008911
                  13,            0.041952,            0.047409,            0.038751,             0.82753,             0.45545,              0.5172,              0.3529,             0.03553,            0.019163,            0.028747,            0.008812,            0.008812,            0.008812
                  14,            0.041854,             0.04701,            0.037493,             0.84991,             0.49003,             0.56239,                0.37,            0.034995,            0.018388,            0.025599,            0.008713,            0.008713,            0.008713
                  15,            0.041738,            0.047124,            0.036129,             0.77996,             0.47021,             0.53102,             0.37077,            0.033042,            0.019088,            0.028826,            0.008614,            0.008614,            0.008614
                  16,            0.041205,            0.046949,            0.036566,             0.88058,             0.48047,             0.57433,              0.3945,            0.033912,            0.018198,            0.023711,            0.008515,            0.008515,            0.008515
