               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037224,            0.044341,            0.026284,             0.63997,             0.67026,             0.71027,              0.5113,            0.028312,            0.016598,            0.015138,            0.006436,            0.006436,            0.006436
                  38,            0.037149,            0.043562,            0.026651,             0.86661,             0.58052,             0.71484,             0.50602,            0.029697,            0.016713,            0.014567,            0.006337,            0.006337,            0.006337
                  39,            0.036816,            0.043276,            0.026161,             0.86262,             0.59048,              0.7026,             0.51133,            0.027961,              0.0163,            0.014262,            0.006238,            0.006238,            0.006238
                  40,            0.036438,            0.043457,            0.025199,             0.67028,             0.66495,             0.73329,             0.50495,            0.028565,            0.016091,            0.014741,            0.006139,            0.006139,            0.006139
                  41,             0.03692,            0.043977,            0.025816,             0.78395,             0.61331,             0.73688,             0.52467,            0.027679,             0.01636,            0.014023,             0.00604,             0.00604,             0.00604
                  42,            0.036671,            0.043091,            0.024603,             0.61959,             0.71862,             0.72852,             0.51363,            0.030359,            0.015893,            0.013467,            0.005941,            0.005941,            0.005941
                  43,            0.036261,            0.042615,            0.024819,             0.56545,             0.75481,             0.74181,             0.52133,            0.027803,            0.015638,            0.012802,            0.005842,            0.005842,            0.005842
                  44,            0.036026,            0.042804,            0.024641,             0.74775,             0.64845,             0.74036,             0.52685,            0.027571,            0.015856,            0.012671,            0.005743,            0.005743,            0.005743
                  45,            0.036147,            0.043287,            0.023675,             0.65615,             0.73709,             0.74852,             0.52647,            0.027158,            0.015969,            0.011798,            0.005644,            0.005644,            0.005644
                  46,            0.036009,            0.043183,            0.024549,             0.75772,             0.63962,             0.72888,             0.52283,            0.027281,            0.015928,            0.012145,            0.005545,            0.005545,            0.005545
                  47,            0.035803,            0.042109,            0.023995,             0.64828,             0.70769,             0.74279,             0.53238,            0.026913,            0.015674,            0.011608,            0.005446,            0.005446,            0.005446
                  48,            0.036242,            0.043522,            0.023535,             0.80492,             0.65884,             0.73587,             0.53801,            0.026196,            0.015534,            0.011598,            0.005347,            0.005347,            0.005347
                  49,            0.035911,            0.042285,            0.023894,             0.77052,             0.63438,              0.7272,             0.52515,            0.027473,            0.015545,            0.012036,            0.005248,            0.005248,            0.005248
