               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037623,             0.04413,            0.026722,             0.85361,             0.55778,             0.68987,             0.48622,            0.029706,            0.016863,             0.01487,            0.006436,            0.006436,            0.006436
                  38,            0.037294,            0.043616,            0.025995,             0.76503,             0.60375,             0.66014,             0.47508,            0.030441,            0.016186,            0.014715,            0.006337,            0.006337,            0.006337
                  39,             0.03675,            0.043039,            0.025943,             0.66594,             0.64575,             0.70867,              0.5018,            0.031031,            0.016321,            0.013799,            0.006238,            0.006238,            0.006238
                  40,            0.036863,            0.044098,            0.025897,             0.79201,             0.59333,             0.70107,             0.49649,            0.029193,            0.016122,            0.015891,            0.006139,            0.006139,            0.006139
                  41,            0.036882,            0.043632,            0.025201,              0.6414,             0.70026,             0.71533,             0.50118,            0.029282,            0.016103,             0.01321,             0.00604,             0.00604,             0.00604
                  42,            0.036393,            0.043598,            0.025164,             0.60447,             0.73918,             0.72898,             0.51359,            0.028996,            0.015701,            0.013428,            0.005941,            0.005941,            0.005941
                  43,            0.036248,            0.042848,            0.025064,              0.8129,             0.62557,             0.73422,             0.51869,            0.029198,            0.015853,            0.014576,            0.005842,            0.005842,            0.005842
                  44,            0.036167,            0.042842,            0.024588,             0.73847,             0.65367,             0.69362,             0.51778,            0.028315,            0.015656,            0.013191,            0.005743,            0.005743,            0.005743
                  45,            0.036152,            0.043095,            0.023403,             0.85019,             0.63261,             0.71167,             0.51207,            0.029094,            0.015707,            0.013308,            0.005644,            0.005644,            0.005644
                  46,            0.035564,            0.042854,            0.023541,             0.76644,             0.68421,             0.73527,             0.52355,            0.028478,            0.015942,            0.012874,            0.005545,            0.005545,            0.005545
                  47,            0.036016,            0.042745,            0.024106,             0.76966,              0.6501,             0.69025,             0.50121,            0.028548,            0.015708,            0.012498,            0.005446,            0.005446,            0.005446
                  48,            0.035849,            0.042559,            0.022906,             0.89851,             0.58279,             0.73564,             0.53681,            0.027253,            0.015482,             0.01209,            0.005347,            0.005347,            0.005347
                  49,            0.035624,            0.041853,            0.023557,             0.68519,             0.68588,              0.7199,             0.51873,            0.027717,            0.015435,            0.012547,            0.005248,            0.005248,            0.005248
                  50,            0.035822,            0.042678,            0.022677,             0.77538,             0.68852,             0.73476,             0.52459,            0.028121,            0.015392,            0.012649,            0.005149,            0.005149,            0.005149
                  51,            0.035535,            0.042309,            0.023089,             0.60907,             0.68126,              0.7065,             0.52161,            0.027379,            0.015573,             0.01377,             0.00505,             0.00505,             0.00505
                  52,            0.035446,            0.042631,             0.02292,             0.70156,             0.68811,             0.73711,             0.52895,            0.028284,            0.015421,             0.01193,            0.004951,            0.004951,            0.004951
                  53,            0.035586,            0.042374,            0.021961,             0.88022,              0.6073,             0.73305,             0.52717,            0.027313,             0.01522,            0.012872,            0.004852,            0.004852,            0.004852
                  54,            0.034432,            0.041041,            0.021609,             0.76119,             0.66717,             0.73581,             0.53441,             0.02708,            0.015346,            0.011706,            0.004753,            0.004753,            0.004753
                  55,            0.035143,             0.04304,            0.022225,             0.62991,             0.72079,             0.73369,             0.53229,            0.027661,            0.015312,            0.013139,            0.004654,            0.004654,            0.004654
