               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037756,            0.044122,            0.026901,             0.79455,             0.58983,             0.69077,             0.49034,            0.029138,            0.016521,            0.015749,            0.006436,            0.006436,            0.006436
                  38,            0.037486,            0.043627,            0.026379,             0.86626,             0.55631,             0.66761,             0.48147,            0.028642,            0.016393,            0.015657,            0.006337,            0.006337,            0.006337
                  39,            0.037156,             0.04322,            0.026506,             0.68288,             0.63267,             0.67561,             0.48543,            0.029654,            0.016317,            0.015212,            0.006238,            0.006238,            0.006238
                  40,            0.037077,            0.044164,             0.02651,             0.79339,               0.618,             0.67223,             0.49006,            0.028508,            0.016059,            0.015204,            0.006139,            0.006139,            0.006139
                  41,            0.037172,            0.043726,            0.025881,             0.75983,             0.58502,             0.67795,             0.49271,            0.029857,              0.0165,            0.014845,             0.00604,             0.00604,             0.00604
                  42,            0.036755,            0.043785,            0.025895,             0.71754,             0.64212,             0.68871,             0.50137,            0.028321,            0.015989,            0.015199,            0.005941,            0.005941,            0.005941
                  43,            0.036366,            0.042891,            0.025579,             0.67948,             0.63906,             0.69543,             0.49858,            0.027631,            0.016131,            0.015127,            0.005842,            0.005842,            0.005842
                  44,            0.036287,            0.042948,            0.024997,             0.55736,             0.73055,             0.68751,             0.50658,            0.027458,            0.016195,            0.014193,            0.005743,            0.005743,            0.005743
                  45,              0.0365,            0.043212,            0.024033,             0.66173,             0.69304,             0.71989,               0.509,            0.028504,            0.015981,            0.015272,            0.005644,            0.005644,            0.005644
                  46,            0.035871,            0.043013,            0.024406,             0.65745,             0.66601,             0.70605,             0.50584,             0.02747,            0.016035,            0.014366,            0.005545,            0.005545,            0.005545
                  47,            0.036056,            0.042815,             0.02447,             0.78403,             0.65771,              0.6996,             0.50857,            0.028309,            0.016049,            0.013628,            0.005446,            0.005446,            0.005446
                  48,            0.036184,            0.042869,            0.023827,             0.66267,             0.73558,             0.73256,             0.52153,            0.027942,            0.015834,            0.013068,            0.005347,            0.005347,            0.005347
                  49,            0.035713,            0.042054,            0.024473,             0.67039,               0.692,             0.73044,             0.52534,            0.027571,            0.015842,            0.014028,            0.005248,            0.005248,            0.005248
                  50,            0.036109,             0.04274,            0.023338,             0.59109,             0.76212,             0.72481,             0.52045,            0.027453,            0.015766,            0.013813,            0.005149,            0.005149,            0.005149
                  51,             0.03567,            0.042296,            0.022816,             0.61888,             0.65474,             0.68559,             0.50927,            0.026691,            0.015883,            0.015956,             0.00505,             0.00505,             0.00505
                  52,            0.035663,            0.042771,            0.023006,             0.76066,             0.63834,             0.69508,             0.50987,            0.027564,            0.015499,            0.014342,            0.004951,            0.004951,            0.004951
                  53,            0.035817,            0.042593,            0.022545,             0.67586,              0.7177,             0.73095,             0.52788,            0.027645,            0.015517,             0.01346,            0.004852,            0.004852,            0.004852
