               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036587,            0.043238,            0.025321,             0.69058,             0.61448,             0.65846,             0.48889,            0.028503,            0.015921,            0.015979,            0.006436,            0.006436,            0.006436
                  38,            0.036263,            0.042787,             0.02554,             0.82211,             0.58818,             0.65679,             0.48632,            0.029034,            0.016049,            0.014113,            0.006337,            0.006337,            0.006337
                  39,            0.037109,            0.043739,             0.02575,             0.82297,             0.61159,             0.70432,              0.5095,            0.028187,            0.016194,            0.013978,            0.006238,            0.006238,            0.006238
                  40,            0.036449,            0.042846,            0.024606,             0.76975,             0.65164,             0.70345,             0.51796,            0.027825,            0.015985,            0.013242,            0.006139,            0.006139,            0.006139
                  41,            0.036375,            0.042952,            0.023674,             0.77769,             0.64091,             0.69009,             0.50524,            0.028157,            0.015708,            0.013982,             0.00604,             0.00604,             0.00604
                  42,            0.036198,            0.043591,            0.025127,             0.67791,             0.66604,             0.68436,             0.50013,            0.027592,            0.015918,            0.014021,            0.005941,            0.005941,            0.005941
                  43,            0.035752,            0.042541,            0.024161,             0.57466,             0.68193,              0.6933,             0.51187,            0.027369,            0.015471,            0.013421,            0.005842,            0.005842,            0.005842
                  44,             0.03594,            0.042974,              0.0243,             0.66824,             0.70964,             0.73053,             0.52618,            0.027769,            0.015461,            0.013477,            0.005743,            0.005743,            0.005743
                  45,            0.036138,            0.042775,            0.023905,             0.73263,             0.62142,             0.68857,             0.50682,            0.027926,            0.015605,             0.01369,            0.005644,            0.005644,            0.005644
                  46,            0.035774,            0.043187,            0.024119,             0.58481,             0.72285,             0.71182,             0.51718,            0.027624,            0.015548,            0.014778,            0.005545,            0.005545,            0.005545
                  47,            0.036068,            0.043443,            0.023403,              0.8841,              0.6036,             0.70427,             0.52573,            0.026847,            0.015476,            0.012878,            0.005446,            0.005446,            0.005446
                  48,            0.035411,            0.042267,            0.022719,              0.7254,             0.65474,             0.71924,             0.51991,            0.027421,            0.015524,            0.012517,            0.005347,            0.005347,            0.005347
                  49,            0.035408,             0.04171,            0.023276,             0.77105,             0.64711,             0.73457,             0.53828,            0.027184,            0.015278,            0.013525,            0.005248,            0.005248,            0.005248
                  50,            0.035886,            0.041885,            0.022288,             0.64288,             0.72431,             0.72947,             0.53256,            0.027689,              0.0154,            0.012503,            0.005149,            0.005149,            0.005149
                  51,            0.035394,            0.041991,            0.023271,             0.75438,             0.68865,              0.7291,             0.54026,            0.027577,            0.015196,             0.01223,             0.00505,             0.00505,             0.00505
                  52,            0.035591,            0.042552,            0.022894,             0.60486,             0.73511,             0.73031,             0.53456,            0.027081,            0.015421,            0.013393,            0.004951,            0.004951,            0.004951
                  53,            0.035037,            0.041613,            0.021918,             0.85682,             0.62985,             0.72363,             0.53827,             0.02757,            0.015347,              0.0125,            0.004852,            0.004852,            0.004852
                  54,            0.034989,            0.042143,            0.021744,             0.68313,              0.7035,             0.72404,             0.54231,            0.026399,            0.015168,            0.011249,            0.004753,            0.004753,            0.004753
                  55,             0.03501,            0.041624,            0.021824,             0.61194,             0.70909,             0.71668,             0.53511,            0.027146,            0.015352,            0.011272,            0.004654,            0.004654,            0.004654
                  56,            0.034791,            0.041052,            0.021413,             0.74751,             0.66486,             0.73521,             0.53534,            0.027399,            0.015211,            0.011951,            0.004555,            0.004555,            0.004555
                  57,            0.034513,            0.042168,            0.020984,             0.61352,             0.72063,             0.74305,             0.54215,            0.026849,            0.015006,            0.011893,            0.004456,            0.004456,            0.004456
                  58,            0.034707,            0.041516,            0.020434,             0.77044,             0.65027,             0.72716,             0.53711,            0.027079,            0.015167,            0.012694,            0.004357,            0.004357,            0.004357
                  59,            0.034258,            0.041443,            0.020576,             0.69209,             0.68147,              0.7255,              0.5414,            0.026519,            0.015298,             0.01278,            0.004258,            0.004258,            0.004258
                  60,            0.034603,            0.041739,             0.02099,             0.80328,             0.64751,             0.73046,             0.54306,            0.026909,            0.015251,             0.01255,            0.004159,            0.004159,            0.004159
                  61,             0.03432,            0.041692,            0.020354,             0.83392,             0.65501,             0.75068,             0.54997,            0.026514,            0.015048,            0.011506,             0.00406,             0.00406,             0.00406
                  62,            0.034615,            0.041141,            0.019981,             0.64842,             0.70531,             0.73052,              0.5497,             0.02637,            0.014984,            0.011054,            0.003961,            0.003961,            0.003961
                  63,            0.033864,            0.041421,            0.020302,             0.78011,             0.67258,             0.74267,             0.54848,            0.026618,            0.014881,            0.011226,            0.003862,            0.003862,            0.003862
                  64,            0.034092,            0.041353,            0.019864,             0.63548,             0.74031,              0.7436,             0.54916,            0.026664,            0.015015,             0.01181,            0.003763,            0.003763,            0.003763
                  65,            0.034281,            0.041528,            0.019489,             0.60273,             0.76671,             0.74605,             0.55692,            0.026128,            0.014913,            0.011185,            0.003664,            0.003664,            0.003664
                  66,            0.034111,            0.041403,             0.01848,             0.68216,              0.6902,             0.73332,             0.54394,            0.026049,            0.014803,            0.010446,            0.003565,            0.003565,            0.003565
                  67,            0.033503,            0.041227,            0.019068,             0.66231,             0.67121,             0.72312,             0.54775,            0.026198,            0.014762,             0.01115,            0.003466,            0.003466,            0.003466
                  68,            0.033631,             0.04066,            0.019081,             0.64524,             0.75657,             0.73718,             0.55107,             0.02593,            0.014711,            0.011447,            0.003367,            0.003367,            0.003367
                  69,             0.03385,            0.041353,            0.018453,             0.70608,             0.67483,              0.7289,             0.54422,            0.026027,            0.014736,            0.010533,            0.003268,            0.003268,            0.003268
                  70,            0.033125,            0.040606,            0.018932,              0.6789,             0.68439,             0.72952,             0.54931,            0.025915,            0.014665,            0.011572,            0.003169,            0.003169,            0.003169
                  71,            0.033206,            0.040687,            0.018149,             0.72297,              0.6735,             0.73858,             0.55139,            0.026072,            0.014647,            0.010842,             0.00307,             0.00307,             0.00307
                  72,            0.033126,            0.040818,            0.017939,             0.72421,             0.69007,             0.73488,             0.54877,            0.026217,            0.014728,            0.011361,            0.002971,            0.002971,            0.002971
                  73,            0.032945,            0.040324,            0.018243,             0.61977,             0.74938,             0.73534,             0.54869,            0.026073,            0.014855,            0.010712,            0.002872,            0.002872,            0.002872
                  74,            0.032608,             0.04057,            0.017851,             0.61111,             0.76304,             0.73539,              0.5509,            0.025704,            0.014674,            0.011386,            0.002773,            0.002773,            0.002773
                  75,            0.033097,            0.040506,             0.01778,             0.61572,             0.75578,              0.7335,              0.5535,            0.025734,            0.014728,            0.010991,            0.002674,            0.002674,            0.002674
                  76,            0.032461,            0.039588,            0.018294,             0.64027,             0.75052,             0.73406,             0.55151,            0.025329,             0.01467,            0.010897,            0.002575,            0.002575,            0.002575
                  77,            0.032779,            0.040035,            0.017507,             0.70817,             0.71099,             0.73889,             0.55387,            0.025569,            0.014601,            0.010542,            0.002476,            0.002476,            0.002476
                  78,            0.032461,            0.039972,            0.016772,             0.71089,              0.6957,             0.73137,             0.55241,            0.025573,            0.014518,            0.010768,            0.002377,            0.002377,            0.002377
                  79,             0.03262,            0.040233,            0.016298,             0.72098,             0.68761,             0.72769,             0.55037,            0.025462,            0.014416,            0.010654,            0.002278,            0.002278,            0.002278
                  80,            0.032423,            0.040482,            0.016616,             0.69269,              0.7053,              0.7325,             0.55327,            0.025303,            0.014419,            0.011098,            0.002179,            0.002179,            0.002179
                  81,            0.032113,              0.0391,            0.016727,             0.74084,              0.6702,             0.72443,             0.55212,            0.025314,            0.014375,            0.011067,             0.00208,             0.00208,             0.00208
                  82,            0.032108,            0.039973,            0.016016,             0.57129,             0.77359,             0.72875,             0.55651,            0.025336,            0.014402,            0.011415,            0.001981,            0.001981,            0.001981
                  83,            0.032422,            0.039813,            0.016631,             0.67445,              0.7495,             0.74407,             0.55568,            0.025597,            0.014404,            0.010924,            0.001882,            0.001882,            0.001882
                  84,            0.031923,            0.039762,            0.015932,             0.64136,             0.70603,             0.72238,             0.55067,            0.025671,            0.014463,            0.011364,            0.001783,            0.001783,            0.001783
                  85,            0.031864,             0.03931,            0.015516,             0.62544,             0.71854,             0.71757,             0.54791,            0.025741,            0.014414,            0.010842,            0.001684,            0.001684,            0.001684
                  86,            0.031833,            0.038942,            0.015324,             0.63369,             0.73091,             0.72365,             0.55282,            0.025679,            0.014425,            0.010647,            0.001585,            0.001585,            0.001585
                  87,            0.031821,            0.039049,            0.016024,             0.66154,             0.71719,             0.73281,             0.55232,            0.025569,            0.014399,            0.010715,            0.001486,            0.001486,            0.001486
                  88,            0.031686,            0.038995,            0.015122,             0.67196,              0.7014,             0.72882,             0.55197,            0.025642,            0.014386,            0.010836,            0.001387,            0.001387,            0.001387
                  89,            0.030953,            0.038866,             0.01496,             0.68939,              0.7023,             0.72983,             0.55247,            0.025727,            0.014386,            0.010809,            0.001288,            0.001288,            0.001288
