               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037079,            0.044147,            0.026129,             0.76642,             0.59029,             0.67852,             0.50168,            0.027575,            0.016235,            0.015126,            0.006436,            0.006436,            0.006436
                  38,             0.03704,            0.043361,            0.026385,             0.86679,             0.59858,             0.71257,             0.51829,            0.028808,            0.015898,             0.01438,            0.006337,            0.006337,            0.006337
                  39,            0.036738,            0.042995,            0.026014,             0.80604,             0.61704,             0.67806,             0.50063,            0.028171,            0.015724,            0.014912,            0.006238,            0.006238,            0.006238
                  40,            0.036246,            0.043283,            0.024479,             0.88149,             0.55694,             0.67801,             0.49557,             0.02936,             0.01569,            0.016048,            0.006139,            0.006139,            0.006139
                  41,              0.0369,            0.043857,            0.025745,             0.78993,             0.62579,             0.70719,              0.5116,            0.028002,             0.01562,            0.013855,             0.00604,             0.00604,             0.00604
                  42,            0.036534,            0.042929,            0.024559,             0.59555,              0.6824,             0.67724,             0.49619,            0.030061,             0.01557,            0.015029,            0.005941,            0.005941,            0.005941
                  43,            0.036128,            0.042463,            0.025006,               0.789,             0.63301,             0.69947,             0.51095,             0.02825,            0.015488,            0.013038,            0.005842,            0.005842,            0.005842
                  44,             0.03603,            0.042511,            0.024569,             0.76442,             0.65379,             0.70841,             0.51649,            0.028303,            0.015416,            0.012085,            0.005743,            0.005743,            0.005743
                  45,            0.036012,            0.043161,            0.023848,             0.84726,             0.60116,             0.69827,             0.50552,            0.028224,             0.01558,            0.012482,            0.005644,            0.005644,            0.005644
                  46,            0.035836,            0.042976,            0.024019,              0.7114,             0.63911,             0.71591,             0.51635,            0.027223,            0.015274,             0.01282,            0.005545,            0.005545,            0.005545
                  47,            0.035793,            0.042046,            0.024198,             0.70532,             0.65513,             0.69725,             0.51524,            0.027885,            0.015575,            0.013232,            0.005446,            0.005446,            0.005446
                  48,            0.035967,             0.04335,            0.023869,               0.735,             0.66696,             0.73319,             0.52713,            0.027203,            0.015357,            0.012658,            0.005347,            0.005347,            0.005347
                  49,            0.035814,             0.04203,            0.023817,              0.8659,             0.62428,             0.70749,               0.517,            0.027648,            0.015407,            0.012965,            0.005248,            0.005248,            0.005248
                  50,            0.035504,            0.041794,            0.023657,             0.64397,             0.70919,             0.71728,             0.52857,             0.02777,            0.015195,            0.012818,            0.005149,            0.005149,            0.005149
                  51,            0.035359,            0.042439,            0.023191,             0.74531,             0.66343,             0.70375,             0.52682,             0.02697,             0.01524,            0.011969,             0.00505,             0.00505,             0.00505
                  52,            0.035167,            0.042208,            0.023108,              0.7934,             0.64831,              0.7023,             0.52178,            0.026707,            0.015043,            0.012869,            0.004951,            0.004951,            0.004951
                  53,            0.034852,            0.041836,            0.022118,             0.86729,             0.60219,             0.68839,             0.51712,            0.028017,            0.014963,            0.013128,            0.004852,            0.004852,            0.004852
                  54,            0.034709,            0.041941,            0.022588,             0.83156,             0.64021,             0.71643,             0.53346,            0.026471,            0.015235,            0.011838,            0.004753,            0.004753,            0.004753
                  55,            0.035067,            0.042261,            0.022108,             0.77673,             0.67425,             0.71873,             0.53442,            0.026846,             0.01511,            0.011883,            0.004654,            0.004654,            0.004654
                  56,            0.034843,            0.041458,            0.021586,             0.70673,             0.68096,             0.70888,             0.53013,            0.026264,            0.015118,            0.011678,            0.004555,            0.004555,            0.004555
                  57,            0.034431,            0.042198,            0.021497,             0.76669,             0.66531,             0.70847,             0.52897,            0.026564,            0.015119,            0.012339,            0.004456,            0.004456,            0.004456
                  58,            0.035196,            0.041933,             0.02265,             0.67054,             0.67498,             0.72172,             0.53259,            0.026433,            0.014955,             0.01207,            0.004357,            0.004357,            0.004357
                  59,            0.034484,            0.041463,            0.021754,             0.71255,             0.65101,             0.71513,             0.53224,            0.026207,             0.01495,            0.012407,            0.004258,            0.004258,            0.004258
                  60,              0.0344,            0.041311,            0.020735,             0.82132,             0.63189,             0.70872,             0.53595,            0.026656,            0.014822,            0.011559,            0.004159,            0.004159,            0.004159
                  61,            0.034577,            0.041639,            0.020475,              0.6772,             0.67607,             0.73139,             0.54135,            0.026303,            0.014801,            0.010832,             0.00406,             0.00406,             0.00406
                  62,            0.034599,            0.041237,             0.02065,             0.73435,             0.67217,             0.73242,             0.54294,            0.025901,            0.014702,            0.010684,            0.003961,            0.003961,            0.003961
                  63,            0.033638,            0.041941,            0.020547,             0.73984,             0.67134,             0.73154,              0.5405,            0.026044,            0.014683,            0.011185,            0.003862,            0.003862,            0.003862
                  64,            0.033897,            0.040937,            0.019883,             0.86664,             0.62652,             0.71401,             0.53598,            0.026191,            0.014683,            0.011506,            0.003763,            0.003763,            0.003763
                  65,            0.034081,            0.041364,            0.019116,             0.72124,             0.66694,             0.71966,              0.5431,            0.026564,            0.014753,            0.011858,            0.003664,            0.003664,            0.003664
                  66,            0.033919,             0.04141,             0.01895,             0.76726,             0.64736,             0.73432,             0.55066,            0.025787,            0.014596,             0.01077,            0.003565,            0.003565,            0.003565
